Reporter Name,Partner Name,Year,Trade Flow,Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
United Kingdom,Aruba,2019,EXPIMP,Food Products,12430.31,4.62,81.41,5.32,,,,0.0,0.0,7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62,12.73,12.73,7.0,14.29,0.0,57.14,28.57,13.47,11.93,4.62,4.62,0.0
United Kingdom,Afghanistan,2019,EXPIMP,Food Products,1214.17,99.7,1.27,2.19,0.14,9.35,-18.02,0.0,0.0,107.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,99.7,17.63,21.47,107.0,54.21,0.93,10.28,34.58,71.1,0.0,5.93,92.93,6.77
United Kingdom,Angola,2019,EXPIMP,Food Products,7639.33,1078.45,2.62,6.05,0.28,-6.93,-1.68,0.0,0.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1078.45,40.37,40.37,2.0,0.0,0.0,0.0,100.0,54.03,26.71,0.0,1078.45,0.0
United Kingdom,Albania,2019,EXPIMP,Food Products,1810.59,1580.6,7.57,18.54,1.31,2.2,3.51,1.83,2.12,181.0,0.0,4.97,8.84,86.19,5.7,0.0,905.12,1083.0,497.6,9.43,8.49,181.0,0.55,0.0,11.6,87.85,26.38,2.33,1379.73,1580.6,0.0
United Kingdom,Andorra,2019,EXPIMP,Food Products,6129.47,5.44,31.04,0.92,2.67,-0.82,-7.35,1.8,1.8,164.0,0.0,29.88,4.27,65.85,3.72,0.0,5.44,5.44,0.0,2.8,2.8,164.0,0.0,0.0,9.76,90.24,5.7,2.33,5.44,5.44,0.0
United Kingdom,United Arab Emirates,2019,EXPIMP,Food Products,346928.87,5163.49,3.48,0.28,2.57,-2.61,-4.13,21.84,14.86,547.0,32.72,4.02,12.43,50.82,149.59,0.0,2223.62,3995.84,1016.48,21.84,14.86,547.0,32.72,4.02,12.43,50.82,149.59,0.0,2223.62,3995.84,1016.48
United Kingdom,Argentina,2019,EXPIMP,Food Products,23067.07,616179.77,4.6,75.75,2.57,-13.74,-5.68,16.56,1.23,356.0,16.01,3.65,10.11,70.22,93.42,0.0,210615.94,218498.1,397517.89,16.56,1.23,356.0,16.01,3.65,10.11,70.22,93.42,0.0,210615.94,218498.1,397517.89
United Kingdom,Armenia,2019,EXPIMP,Food Products,1098.03,98.32,5.94,3.65,0.28,4.59,5.49,1.09,1.9,252.0,0.0,28.97,6.35,64.68,5.7,0.0,63.03,74.64,23.68,8.42,5.27,252.0,24.21,1.98,6.75,67.06,27.79,0.0,76.15,91.39,6.93
United Kingdom,Fr. So. Ant. Tr,2019,EXPIMP,Food Products,1.85,2.58,0.65,56.44,,,,0.0,0.0,80.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58,25.67,25.67,80.0,65.0,0.0,0.0,35.0,46.25,10.5,0.0,2.58,0.0
United Kingdom,Australia,2019,EXPIMP,Food Products,530829.39,334230.81,9.6,3.1,2.3,1.9,2.68,63.69,22.31,852.0,29.69,7.75,15.38,47.18,3000.0,0.0,314266.32,328599.07,2730.49,63.69,22.31,852.0,29.69,7.75,15.38,47.18,3000.0,0.0,314266.32,328599.07,2730.49
United Kingdom,Austria,2019,EXPIMP,Food Products,76771.95,272292.31,3.23,5.44,0.87,-0.57,1.85,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Azerbaijan,2019,EXPIMP,Food Products,1348.51,24.03,0.05,0.02,0.6,1.21,24.53,0.0,0.0,4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,24.03,0.0,0.0,4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,24.03
United Kingdom,Belgium,2019,EXPIMP,Food Products,410716.86,2270848.5,2.49,7.05,0.76,-2.93,-5.39,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Bonaire,2019,EXPIMP,Food Products,4430.49,152.12,42.95,52.67,,,,12.72,9.73,19.0,57.89,0.0,5.26,36.84,19.2,4.77,137.4,152.12,0.0,12.72,9.73,19.0,57.89,0.0,5.26,36.84,19.2,4.77,137.4,152.12,0.0
United Kingdom,Bangladesh,2019,EXPIMP,Food Products,10989.05,13833.11,2.11,0.35,,,,0.05,0.0,649.0,0.15,99.85,0.0,0.0,12.8,0.0,0.0,5.99,13692.14,17.29,18.68,649.0,59.32,0.92,7.7,32.05,69.81,0.0,8853.58,13698.14,0.0
